cik,ticker,w_2015,dlog_shares,shares_2015_adj,shares_last_adj,ratio,contrib
1024478,ROK,0.0008461570774342437,-0.1821741837187487,135700000.0,113100000.0,0.8334561532792926,-0.00015414797487942538
35527,FITB,0.0008391344920032842,-0.183133171604893,807658669.0,672502856.0,0.8326572620493967,-0.00015367336092362216
1001250,EL,0.0022031137849941305,-0.06867809455935252,385700000.0,360100000.0,0.9336271713767177,-0.00015130565685083993
62709,MRSH,0.0018394323289716889,-0.08159864388287942,536000000.0,494000000.0,0.9216417910447762,-0.00015009518355841634
1086222,AKAM,0.0007071177567815812,-0.20467071560585512,180415000.0,147023000.0,0.8149156112296649,-0.00014472629729809326
319201,KLAC,0.00070523022876684,-0.20206920731780675,1637010000.0,1337500000.0,0.8170383809506356,-0.00014250531330347089
1402057,CDW,0.0005378629109668711,-0.26277179802187534,171800000.0,132100000.0,0.7689173457508731,-0.00014133520420404457
940944,DRI,0.0006876491765773309,-0.20331673576082307,145094529.58943954,118400000.0,0.8160197378565921,-0.00013981058593032076
93410,CVX,0.012561353454646691,-0.0101850250583653,1875000000.0,1856000000.0,0.9898666666666667,-0.00012793769970256008
1022671,STLD,0.00026093545391945043,-0.4890696870753798,242017000.0,148404000.0,0.6131965936277204,-0.00012761562079525781
31462,ECL,0.002283485822083588,-0.05524759765225424,301400000.0,285200000.0,0.9462508294625083,-0.00012615710594310106
1267238,AIZ,0.0004139565365413756,-0.30083268824138154,69017209.0,51086649.0,0.7402016068195397,-0.00012453165770283373
1043277,CHRW,0.0006713199212376691,-0.17920702348578388,145349000.0,121502000.0,0.8359328237552374,-0.00012030524489171355
91142,AOS,0.0005106419559877185,-0.2322099300534848,179009180.0,141914840.0,0.7927796775562013,-0.00011857613288228278
1013871,NRG,0.0002300068327339173,-0.5027529260408795,329000000.0,199000000.0,0.6048632218844985,-0.00011563660816637207
1060391,RSG,0.0009674042626629543,-0.11834952162253867,351388000.0,312168000.0,0.8883854884059785,-0.00011449183170176539
2969,APD,0.002105504292579772,-0.053339851656133225,234901300.0,222700000.0,0.9480577587267504,-0.00011230728662755675
1048695,FFIV,0.0005238389441515293,-0.21206751040527488,72547000.0,58684000.0,0.8089100858753635,-0.00011108922073954265
1116132,TPR,0.0005030432117417732,-0.2198121657094533,277200000.0,222500000.0,0.8026695526695526,-0.00011057501781839826
723254,CTAS,0.000797007589876424,-0.13624410771342965,470172000.0,410286000.0,0.8726295908731273,-0.00010858758792354448
10456,BAX,0.001559741493570733,-0.06782259633876106,549000000.0,513000000.0,0.9344262295081968,-0.00010578571771126411
728535,JBHT,0.0005771784298749124,-0.17806771543100056,116728000.0,97688000.0,0.8368857514906449,-0.00010277684440387761
1138118,CBRE,0.0008663350782126412,-0.11206061013725511,336414856.0,300751541.0,0.8939900709973403,-9.70820374478152e-05
76334,PH,0.0008875920717294884,-0.10843516196499176,145112150.0,130200000.0,0.8972370680194595,-9.624619005682966e-05
8818,AVY,0.0004465684622964841,-0.2006706954621511,95700000.0,78300000.0,0.8181818181818182,-8.961320390049886e-05
97210,TER,0.0003084711826411042,-0.2893820522956544,213321000.0,159719000.0,0.7487260982275538,-8.926602390675038e-05
1397187,LULU,0.0005638415907930699,-0.15212337105073398,144298000.0,123935000.0,0.858882312991171,-8.577348353005029e-05
21076,CLX,0.001254085947299768,-0.06607009045102268,132776000.0,124287000.0,0.9360652527565223,-8.285757197145213e-05
52988,J,0.0003617275619532909,-0.2234597871050427,152463206.70000002,121932000.0,0.7997470513651475,-8.083156398410853e-05
1501585,HII,0.00037264913484301817,-0.20620704178331148,48300000.0,39300000.0,0.8136645962732919,-7.684287571908912e-05
313927,CHD,0.0008444958829272325,-0.08960046339879585,267200000.0,244300000.0,0.9142964071856288,-7.566722244865529e-05
874716,IDXX,0.0005085521737664428,-0.14479600174888188,93649000.0,81025000.0,0.8651987741460133,-7.363632144208353e-05
1050915,PWR,0.0002885241784378671,-0.2544096193505702,195120000.0,151291000.0,0.7753741287412874,-7.340332640981377e-05
1285785,MOS,0.0005939992640606932,-0.12205944373803562,360300000.0,318900000.0,0.8850957535387177,-7.250321975205075e-05
769397,ADSK,0.0010545156408331775,-0.06856267143729666,232400000.0,217000000.0,0.9337349397590361,-7.230040940793549e-05
1070750,HST,0.0008600988811918924,-0.0813163745105386,752900000.0,694100000.0,0.9219019790144773,-6.994012273909516e-05
878927,ODFL,0.000359567240704163,-0.19101811893170662,256135440.0,211598000.0,0.8261176196468556,-6.868385794877339e-05
749251,IT,0.0005745104716805907,-0.1177874445261476,85056000.0,75605000.0,0.8888849699021821,-6.767012031276848e-05
814547,FICO,0.00022851087223465155,-0.2834285048285637,32609000.0,24561000.0,0.7531969701616118,-6.476649485453824e-05
40987,GPC,0.0007111675187364162,-0.09086748738787659,152496000.0,139250000.0,0.9131387052775155,-6.462200553944879e-05
93556,SWK,0.0012696317327621173,-0.05045114580840142,159737000.0,151878000.0,0.9508003781215373,-6.405437567255492e-05
91440,SNA,0.0005830961376492743,-0.10893901085993074,59100000.0,53000000.0,0.8967851099830795,-6.352191647175797e-05
916076,MLM,0.0006289615745143932,-0.10069618923389559,67020000.0,60600000.0,0.9042076991942704,-6.333403372815026e-05
1262039,FTNT,0.00040886788140656523,-0.14136990183513165,880705000.0,764600000.0,0.8681681153167065,-5.7801612257984374e-05
