cik,entityName,val,accn,end,fy,fp,form,filed,frame,year,tag
4962,AMERICAN EXPRESS CO,805588980.0,0000004962-21-000013,2021-02-03,,,,,,2020,EntityCommonStockSharesOutstanding
4962,American Express Co,759354994.0,0000004962-22-000008,2022-02-03,,,,,,2021,EntityCommonStockSharesOutstanding
4962,American Express Co,744192702.0,0000004962-23-000006,2023-02-02,,,,,,2022,EntityCommonStockSharesOutstanding
4962,American Express Co,723869787.0,0000004962-24-000013,2024-02-01,,,,,,2023,EntityCommonStockSharesOutstanding
4962,American Express Co,702532111.0,0000004962-25-000016,2025-01-31,,,,,,2024,EntityCommonStockSharesOutstanding
4962,American Express Co,686614005.0,0000004962-26-000080,2026-01-30,,,,,,2025,EntityCommonStockSharesOutstanding
4962,AMERICAN EXPRESS COMPANY,675309833.0,0000004962-26-000322,2026-07-14,,,,,,2026,EntityCommonStockSharesOutstanding
4977,Aflac Incorporated,389682983.0,0000004977-18-000054,2018-02-13,,,,,,2017,EntityCommonStockSharesOutstanding
4977,Aflac Incorporated,750332375.0,0000004977-19-000049,2019-02-12,,,,,,2018,EntityCommonStockSharesOutstanding
4977,Aflac Incorporated,722520700.0,0000004977-20-000044,2020-02-12,,,,,,2019,EntityCommonStockSharesOutstanding
4977,Aflac Incorporated,501343298.0,0001628280-26-054618,2026-07-28,,,,,,2026,EntityCommonStockSharesOutstanding
5272,"AMERICAN INTERNATIONAL GROUP, INC.",1149448256.0,0000005272-16-000035,2016-02-11,,,,,,2015,EntityCommonStockSharesOutstanding
5272,"AMERICAN INTERNATIONAL GROUP, INC.",979560020.0,0000005272-17-000017,2017-02-13,,,,,,2016,EntityCommonStockSharesOutstanding
5272,"AMERICAN INTERNATIONAL GROUP, INC.",902468889.0,0000005272-18-000022,2018-02-07,,,,,,2017,EntityCommonStockSharesOutstanding
5272,"AMERICAN INTERNATIONAL GROUP, INC.",869486334.0,0000005272-19-000023,2019-02-06,,,,,,2018,EntityCommonStockSharesOutstanding
5272,"AMERICAN INTERNATIONAL GROUP, INC.",873422023.0,0001104659-20-023889,2020-02-10,,,,,,2019,EntityCommonStockSharesOutstanding
5272,"AMERICAN INTERNATIONAL GROUP, INC.",864790669.0,0001104659-21-025742,2021-02-09,,,,,,2020,EntityCommonStockSharesOutstanding
5272,"American International Group, Inc.",814757881.0,0001104659-22-024701,2022-02-08,,,,,,2021,EntityCommonStockSharesOutstanding
5272,"American International Group, Inc.",737247384.0,0000005272-23-000007,2023-02-10,,,,,,2022,EntityCommonStockSharesOutstanding
5272,"American International Group, Inc.",680953652.0,0000005272-24-000023,2024-02-08,,,,,,2023,EntityCommonStockSharesOutstanding
5272,"American International Group, Inc.",593332964.0,0000005272-25-000012,2025-02-07,,,,,,2024,EntityCommonStockSharesOutstanding
5272,"American International Group, Inc.",536559663.0,0000005272-26-000023,2026-02-06,,,,,,2025,EntityCommonStockSharesOutstanding
5272,"American International Group, Inc.",522893169.0,0000005272-26-000076,2026-07-31,,,,,,2026,EntityCommonStockSharesOutstanding
6281,"Analog Devices, Inc.",310019122.0,0000006281-16-000060,2016-01-30,,,,,,2015,EntityCommonStockSharesOutstanding
6281,"Analog Devices, Inc.",309206677.0,0000006281-17-000008,2017-01-28,,,,,,2016,EntityCommonStockSharesOutstanding
6281,"Analog Devices, Inc.",369803589.0,0000006281-18-000018,2018-02-03,,,,,,2017,EntityCommonStockSharesOutstanding
6281,"Analog Devices, Inc.",368314314.0,0000006281-19-000013,2019-02-02,,,,,,2018,EntityCommonStockSharesOutstanding
6281,"Analog Devices, Inc.",368220091.0,0000006281-20-000013,2020-02-01,,,,,,2019,EntityCommonStockSharesOutstanding
6281,"Analog Devices, Inc.",368893742.0,0000006281-21-000022,2021-01-30,,,,,,2020,EntityCommonStockSharesOutstanding
6281,"Analog Devices, Inc.",523315130.0,0000006281-22-000020,2022-01-29,,,,,,2021,EntityCommonStockSharesOutstanding
6281,"Analog Devices, Inc.",505852499.0,0000006281-23-000031,2023-01-28,,,,,,2022,EntityCommonStockSharesOutstanding
6281,"Analog Devices, Inc.",495908150.0,0000006281-24-000034,2024-02-03,,,,,,2023,EntityCommonStockSharesOutstanding
6281,"Analog Devices, Inc.",495976483.0,0000006281-25-000023,2025-02-01,,,,,,2024,EntityCommonStockSharesOutstanding
6281,"Analog Devices, Inc.",488204157.0,0000006281-26-000016,2026-01-31,,,,,,2025,EntityCommonStockSharesOutstanding
6281,"Analog Devices, Inc.",484565465.0,0000006281-26-000073,2026-08-01,,,,,,2026,EntityCommonStockSharesOutstanding
6951,APPLIED MATERIALS INC /DE,1149133389.0,0000006951-15-000034,2015-12-03,,,,,,2015,EntityCommonStockSharesOutstanding
6951,APPLIED MATERIALS INC /DE,1076570134.0,0000006951-16-000068,2016-12-08,,,,,,2016,EntityCommonStockSharesOutstanding
6951,APPLIED MATERIALS INC /DE,1056340714.0,0000006951-17-000038,2017-12-08,,,,,,2017,EntityCommonStockSharesOutstanding
6951,APPLIED MATERIALS INC /DE,958606093.0,0000006951-18-000041,2018-12-07,,,,,,2018,EntityCommonStockSharesOutstanding
6951,APPLIED MATERIALS INC /DE,915304098.0,0000006951-19-000046,2019-12-06,,,,,,2019,EntityCommonStockSharesOutstanding
6951,APPLIED MATERIALS INC /DE,914344189.0,0000006951-20-000048,2020-12-04,,,,,,2020,EntityCommonStockSharesOutstanding
6951,APPLIED MATERIALS INC /DE,888513248.0,0000006951-21-000043,2021-12-10,,,,,,2021,EntityCommonStockSharesOutstanding
