ticker,date,ratio
BEN,1997-01-15 09:30:00,1.5
BEN,1998-01-16 09:30:00,2.0
BEN,2013-07-26 09:30:00,3.0
BF-B,1981-07-17 09:30:00,2.0
BF-B,1987-04-02 09:30:00,1.5
BF-B,1994-05-31 09:30:00,3.0
BF-B,2004-01-21 09:30:00,2.0
BF-B,2008-10-28 09:30:00,1.25
BF-B,2012-08-13 09:30:00,1.5
BF-B,2016-08-19 09:30:00,2.0
BF-B,2018-03-01 09:30:00,1.25
BIIB,1999-12-21 09:30:00,2.0
BIIB,2001-01-18 09:30:00,3.0
BKNG,2003-06-16 09:30:00,0.16666666666666666
BKNG,2026-04-06 09:30:00,25.0
BMY,1977-05-31 09:30:00,2.0
BMY,1983-05-27 09:30:00,2.0
BMY,1987-06-10 09:30:00,2.0
BMY,1997-03-03 09:30:00,2.0
BMY,1999-03-01 09:30:00,2.0
BMY,2001-08-07 09:30:00,1.0506662800214757
BNY,1983-10-11 09:30:00,2.0
BNY,1986-11-07 09:30:00,1.5
BNY,1994-05-16 09:30:00,2.0
BNY,1996-08-09 09:30:00,2.0
BNY,1998-08-14 09:30:00,2.0
BNY,2007-07-02 09:30:00,0.9434
BRK-B,2010-01-21 09:30:00,50.0
BRO,1983-03-24 09:30:00,1.5
BRO,1986-05-12 09:30:00,1.5
BRO,1991-05-30 09:30:00,1.25
BRO,1998-03-02 09:30:00,1.5
BRO,2000-08-24 09:30:00,2.0
BRO,2001-11-23 09:30:00,2.0
BRO,2005-11-29 09:30:00,2.0
BRO,2018-03-29 09:30:00,2.0
BSX,1998-12-01 09:30:00,2.0
BSX,2003-11-06 09:30:00,2.0
C,1987-03-13 09:30:00,2.0
C,1993-03-01 09:30:00,1.5
C,1993-08-30 09:30:00,1.3333333333333333
C,1995-10-03 09:30:00,1.0040160642570282
C,1996-05-28 09:30:00,1.5
C,1996-11-25 09:30:00,1.3333333333333333
C,1997-11-20 09:30:00,1.5
C,1999-06-01 09:30:00,1.5
C,2000-08-28 09:30:00,1.3333333333333333
C,2011-05-09 09:30:00,0.1
CAH,1987-09-09 09:30:00,1.1
CAH,1988-09-09 09:30:00,1.1
CAH,1989-10-02 09:30:00,1.25
CAH,1990-10-01 09:30:00,1.25
CAH,1991-10-01 09:30:00,1.25
CAH,1994-07-01 09:30:00,1.25
CAH,1996-12-17 09:30:00,1.5
CAH,1998-11-02 09:30:00,1.5
CAH,2001-04-23 09:30:00,1.5
CASY,1985-06-25 09:30:00,1.5
CASY,1986-08-05 09:30:00,2.0
CASY,1994-02-16 09:30:00,2.0
CASY,1998-02-17 09:30:00,2.0
CAT,1964-07-06 09:30:00,2.0
CAT,1976-07-26 09:30:00,1.5
CAT,1994-09-06 09:30:00,2.0
CAT,1997-07-14 09:30:00,2.0
CAT,2005-07-14 09:30:00,2.0
CB,1998-03-03 09:30:00,3.0
CBRE,2006-06-02 09:30:00,3.0
CCL,1994-12-15 09:30:00,2.0
CCL,1998-06-15 09:30:00,2.0
CDNS,1995-10-31 09:30:00,1.5
CDNS,1996-06-03 09:30:00,1.5
CDNS,1997-11-17 09:30:00,2.0
CF,2015-06-18 09:30:00,5.0
CHD,1981-06-22 09:30:00,3.0
CHD,1983-06-09 09:30:00,1.5
CHD,1984-09-04 09:30:00,1.5
CHD,1986-03-06 09:30:00,2.0
