broker,period,metric,value,unit,flow_or_stock,firm_label,source_url,source_accession,source_doc_date
"Interactive Brokers Group, Inc.",2023-Q4,Customer margin loans,44.4,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119724000050/ibkr-8k_20231231er.htm,0001381197-24-000050,2024-01-16
"Interactive Brokers Group, Inc.",2024-Q1,Customer Equity,465.9,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119724000086/ibkr-8k_20240331er.htm,0001381197-24-000086,2024-04-16
"Interactive Brokers Group, Inc.",2024-Q1,Customer credits,104.9,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119724000086/ibkr-8k_20240331er.htm,0001381197-24-000086,2024-04-16
"Interactive Brokers Group, Inc.",2024-Q1,Customer margin loans,51.2,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119724000086/ibkr-8k_20240331er.htm,0001381197-24-000086,2024-04-16
"Interactive Brokers Group, Inc.",2024-Q2,Customer Equity,497.2,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119724000110/ibkr-8k_20240630er.htm,0001381197-24-000110,2024-07-16
"Interactive Brokers Group, Inc.",2024-Q2,Customer credits,107.1,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119724000110/ibkr-8k_20240630er.htm,0001381197-24-000110,2024-07-16
"Interactive Brokers Group, Inc.",2024-Q2,Customer margin loans,55.1,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119724000110/ibkr-8k_20240630er.htm,0001381197-24-000110,2024-07-16
"Interactive Brokers Group, Inc.",2024-Q3,Customer Equity,541.5,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119724000135/ibkr-8k_20240930er.htm,0001381197-24-000135,2024-10-15
"Interactive Brokers Group, Inc.",2024-Q3,Customer credits,116.7,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119724000135/ibkr-8k_20240930er.htm,0001381197-24-000135,2024-10-15
"Interactive Brokers Group, Inc.",2024-Q3,Customer margin loans,55.8,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119724000135/ibkr-8k_20240930er.htm,0001381197-24-000135,2024-10-15
"Interactive Brokers Group, Inc.",2024-Q4,Customer Equity,568.2,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119725000027/ibkr-8k_20241231er.htm,0001381197-25-000027,2025-01-21
"Interactive Brokers Group, Inc.",2024-Q4,Customer credits,119.7,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119725000027/ibkr-8k_20241231er.htm,0001381197-25-000027,2025-01-21
"Interactive Brokers Group, Inc.",2024-Q4,Customer margin loans,64.2,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119725000027/ibkr-8k_20241231er.htm,0001381197-25-000027,2025-01-21
"Interactive Brokers Group, Inc.",2025-Q1,Customer Equity,573.5,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119725000043/ikr-8k_20250331er.htm,0001381197-25-000043,2025-04-15
"Interactive Brokers Group, Inc.",2025-Q1,Customer credits,125.2,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119725000043/ikr-8k_20250331er.htm,0001381197-25-000043,2025-04-15
"Interactive Brokers Group, Inc.",2025-Q1,Customer margin loans,63.7,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119725000043/ikr-8k_20250331er.htm,0001381197-25-000043,2025-04-15
"Interactive Brokers Group, Inc.",2025-Q2,Customer Equity,664.6,USD billions,STOCK,Customer Equity (excludes non-customers),https://www.sec.gov/Archives/edgar/data/1381197/000138119725000078/ibkr-8k_20250630er.htm,0001381197-25-000078,2025-07-17
"Interactive Brokers Group, Inc.",2025-Q2,Customer credits,143.7,USD billions,STOCK,"Customer credits (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119725000078/ibkr-8k_20250630er.htm,0001381197-25-000078,2025-07-17
"Interactive Brokers Group, Inc.",2025-Q2,Customer margin loans,65.1,USD billions,STOCK,"Customer margin loans (quarterly highlights bullet, current quarter only)",https://www.sec.gov/Archives/edgar/data/1381197/000138119725000078/ibkr-8k_20250630er.htm,0001381197-25-000078,2025-07-17
